time,p,T,Tve,rho
0.000336,51618.7,298.15,348.432,0.583315
0.000338,51548.8,298.15,348.432,0.582526
0.00034,51479.5,298.15,348.432,0.581742
0.000342,51410.8,298.15,348.432,0.580966
0.000344,51342.5,298.15,348.432,0.580195
0.000346,51274.8,298.15,348.432,0.579429
0.000348,51207.5,298.15,348.432,0.578668
0.00035,51140.6,298.15,348.432,0.577913
0.000352,51074.3,298.15,348.432,0.577163
0.000354,51008.3,298.15,348.432,0.576418
0.000356,50942.8,298.15,348.432,0.575677
0.000358,50877.7,298.15,348.432,0.574942
0.00036,50813,298.15,348.432,0.574211
0.000362,50748.8,298.15,348.432,0.573485
0.000364,50684.9,298.15,348.432,0.572763
0.000366,50621.4,298.15,348.432,0.572046
0.000368,50558.4,298.15,348.432,0.571333
0.00037,50495.7,298.15,348.432,0.570624
0.000372,50433.3,298.15,348.432,0.56992
0.000374,50371.4,298.15,348.432,0.56922
0.000376,50309.8,298.15,348.432,0.568524
0.000378,50248.6,298.15,348.432,0.567832
0.00038,50187.7,298.15,348.432,0.567144
0.000382,50127.1,298.15,348.432,0.56646
0.000384,50066.9,298.15,348.432,0.56578
0.000386,50007.1,298.15,348.432,0.565103
0.000388,49947.5,298.15,348.432,0.56443
0.00039,49888.3,298.15,348.432,0.563761
0.000392,49829.4,298.15,348.432,0.563095
0.000394,49770.8,298.15,348.432,0.562433
0.000396,49712.5,298.15,348.432,0.561775
0.000398,49654.5,298.15,348.432,0.561119
0.0004,49596.8,298.15,348.432,0.560467
0.000402,49539.4,298.15,348.432,0.559819
0.000404,49482.3,298.15,348.432,0.559173
0.000406,49425.5,298.15,348.432,0.558531
0.000408,49368.9,298.15,348.432,0.557892
0.00041,49312.6,298.15,348.432,0.557256
0.000412,49256.6,298.15,348.432,0.556623
0.000414,49200.9,298.15,348.432,0.555993
0.000416,49145.4,298.15,348.432,0.555366
0.000418,49090.1,298.15,348.432,0.554741
0.00042,49035.2,298.15,348.432,0.55412
0.000422,48980.4,298.15,348.432,0.553502
0.000424,48925.9,298.15,348.432,0.552886
0.000426,48871.7,298.15,348.432,0.552273
0.000428,48817.7,298.15,348.432,0.551662
0.00043,48763.9,298.15,348.432,0.551055
0.000432,48710.4,298.15,348.432,0.55045
0.000434,48657,298.15,348.432,0.549847
0.000436,48604,298.15,348.432,0.549247
0.000438,48551.1,298.15,348.432,0.54865
0.00044,48498.4,298.15,348.432,0.548055
0.000442,48446,298.15,348.432,0.547463
0.000444,48393.8,298.15,348.432,0.546873
0.000446,48341.8,298.15,348.432,0.546285
0.000448,48290,298.15,348.432,0.5457
0.00045,48238.5,298.15,348.432,0.545117
0.000452,48187.1,298.15,348.432,0.544537
0.000454,48135.9,298.15,348.432,0.543958
0.000456,48085,298.15,348.432,0.543383
0.000458,48034.2,298.15,348.432,0.542809
0.00046,47983.7,298.15,348.432,0.542238
0.000462,47933.3,298.15,348.432,0.541669
0.000464,47883.2,298.15,348.432,0.541102
0.000466,47833.3,298.15,348.432,0.540538
0.000468,47783.6,298.15,348.432,0.539976
0.00047,47734,298.15,348.432,0.539417
0.000472,47684.7,298.15,348.432,0.53886
0.000474,47635.6,298.15,348.432,0.538305
0.000476,47586.8,298.15,348.432,0.537752
0.000478,47538.1,298.15,348.432,0.537202
0.00048,47489.6,298.15,348.432,0.536655
0.000482,47441.4,298.15,348.432,0.536109
0.000484,47393.3,298.15,348.432,0.535566
0.000486,47345.5,298.15,348.432,0.535026
0.000488,47297.9,298.15,348.432,0.534488
0.00049,47250.4,298.15,348.432,0.533952
0.000492,47203.2,298.15,348.432,0.533419
0.000494,47156.3,298.15,348.432,0.532888
0.000496,47109.5,298.15,348.432,0.532359
0.000498,47063,298.15,348.432,0.531833
0.0005,47016.6,298.15,348.432,0.53131
0.000502,46970.5,298.15,348.432,0.530789
0.000504,46924.6,298.15,348.432,0.53027
0.000506,46878.9,298.15,348.432,0.529754
